dlnGDP,dlnC,dlnIG,dlnIP,dlnCG,dlnEx,dlnIm,dlnEL,dlnpL,dlnpE,dlnpZ,dlnpEF,dlnO_ann,dlnE,dlnY_RoW,dlnpZ_RoW,dlnpO_RoW,dlnEF_ann,dlnER_ann,dlnEY_ann,dlnEZ_ann,dlnKZ_ann,dlnKE_ann,dlnu,devGDP,devC,devIG,devIP,devCG,devEx,devIm,devEL,devpL,devpE,devpZ,devpEF,devO_ann,devE,devY_RoW,devpZ_RoW,devpO_RoW,devu,devEF_ann,devER_ann,devEY_ann,devEZ_ann,devKZ_ann,devKE_ann,devZe_RoW,devPiY,devPiY_RoW,devR,devRB,devRW,devRER
2.220163966,1.323489051,16.16607252,2.790413383,2.228956765,5.56089861,6.627469529,0.285128464,2.849801205,-0.379626679,0.194957595,1.003008397,NaN,-4.115432962,0.609303404,0.890656404,1.264996831,NaN,NaN,NaN,NaN,NaN,NaN,1.364631315,7.512231057,8.575566122,26.40805921,27.28124484,3.991476651,4.93051449,25.12429362,0.986778569,10.71449215,-8.369363331,-2.02361323,-4.773947926,NaN,4.995558919,-0.072600864,-0.460146417,2.921305666,3.683057662,NaN,NaN,NaN,NaN,NaN,NaN,25.12429362,-4.688639593,0.107872987,-1.262016643,-8.908852636,0.011045422,7.091198331
1.491137322,0.294505804,-27.31510793,8.953960336,1.320492482,0.048143124,-3.831379153,0.323954656,-0.523307309,-2.60518367,4.397634157,-2.224655257,NaN,2.688711122,0.160885843,0.758978916,7.053429595,NaN,NaN,NaN,NaN,NaN,NaN,0.717964958,8.832563615,8.701913231,1.321960183,35.30533343,5.38535716,4.361127577,20.09774654,1.467087342,10.4429649,-11.24672467,2.014436892,-8.310725641,NaN,7.126116691,0.002394483,0.651617094,9.596157379,3.956950679,NaN,NaN,NaN,NaN,NaN,NaN,20.09774654,-3.355626736,-0.003915444,-0.92923932,-9.231029471,0.036249059,6.853411537
0.927657457,0.070391454,6.498942194,-2.969866424,-1.828044056,-1.955425975,1.214473131,0.108839598,0.940743323,1.480374976,-0.776482337,0.386205153,NaN,-0.69208136,0.424153182,0.703504155,4.289043361,NaN,NaN,NaN,NaN,NaN,NaN,-1.537243097,9.584721164,8.59878626,10.03340624,31.38854449,3.628206457,1.785089993,20.10134906,1.731664321,11.62879173,-10.03329652,0.879635277,-9.233659228,8.259280705,5.872759757,0.340702546,1.708193436,13.50479704,1.97333373,7.64895356,4.396274993,4.811802608,8.102267804,6.331442271,3.15553155,20.10134906,-3.476143393,0.260763377,-0.595673236,-6.379435657,0.016154126,15.38785941
-7.977888133,-7.362691388,5.728466045,-27.77616599,-4.830636704,0.578616501,-20.80042018,-0.788004851,-14.41505447,0.395356538,-3.695221739,0.478478909,NaN,-5.490680231,0.375834173,-0.768408068,-5.640263568,NaN,NaN,NaN,NaN,NaN,NaN,-4.823830443,1.416422481,1.046418294,17.94053986,2.609288594,-1.139892087,1.734206038,-1.953908199,1.097246449,-2.5610992,-9.887395896,-3.172635246,-10.05315742,NaN,-0.18989432,0.630780854,1.293025477,7.474480547,-3.303947481,NaN,NaN,NaN,NaN,NaN,NaN,-1.953908199,4.10267461,-0.902887585,-0.259948857,10.00675477,-0.033435603,4.835826572
-5.525154989,-6.053266554,-32.39194618,-21.44701229,2.021935932,1.683900881,-17.78182458,-0.376078392,-5.820194448,19.82912194,-3.095690164,16.40149239,NaN,-2.494035893,-0.182098936,-0.544338347,-3.918260705,NaN,NaN,NaN,NaN,NaN,NaN,-3.235340382,-4.330259646,-5.228855658,-12.3301772,-19.95571544,0.928098661,2.772794658,-21.07536343,0.869988676,-8.196541482,9.7282919,-6.624647738,5.075468469,NaN,-3.277848852,0.362846248,1.100907871,3.14025377,-7.005823886,NaN,NaN,NaN,NaN,NaN,NaN,-21.07536343,11.48200783,1.060939349,0.079675648,8.18653118,0.038348551,-9.531019774
-1.478936563,-0.461506174,-4.670706589,-5.552425865,-3.702912695,-5.078919656,1.022143463,-0.977214729,-0.393613298,4.940261971,3.694413793,10.04703324,NaN,0.336550666,0.090198298,-0.742983525,-4.652957452,NaN,NaN,NaN,NaN,NaN,NaN,2.278903644,-6.078931148,-5.961526726,-14.97190808,-26.80140015,-2.75265828,-2.975255902,-21.51725012,0.033526472,-8.464704707,14.51585199,-3.284390955,13.89497798,NaN,-3.568289457,0.366565772,0.707130289,-1.975518358,-5.210484893,NaN,NaN,NaN,NaN,NaN,NaN,-21.51725012,1.559096068,-0.413826914,0.425104579,6.715398468,0.040754495,-15.72403481
-0.298779074,1.262326956,-4.170143473,-8.159261804,2.874432503,-3.318748949,-0.811496325,-1.321073136,1.591163837,1.293774736,3.437342242,-19.64606353,-12.19398403,4.060029283,-0.299876033,-1.060509523,-9.365509257,-11.49710515,-11.91462894,-6.878887514,-20.28165897,-8.412793598,-2.610739596,3.353010604,-6.710037759,-5.033080804,-17.23243788,-36.47708084,0.112035136,-6.996694229,-23.94360992,-1.158707712,-6.821160769,15.73628741,-0.193461142,-6.916206481,-4.630372442,-0.17740326,-0.021222216,-0.009871589,-11.87358902,-2.357632297,-6.274200691,-4.53555763,-4.421077897,-14.23351269,-2.913532945,-0.527027595,-23.94360992,1.86270481,0.273949995,0.778192435,4.384795445,-0.013360496,-9.941950172
3.379823917,0.333817316,35.68127732,19.96759596,1.218253249,5.809976407,18.55144491,-0.148520308,4.355902559,-3.79920083,2.76185321,20.37406513,NaN,0.014565289,0.046223679,-0.534840283,3.325315065,NaN,NaN,NaN,NaN,NaN,NaN,1.230416997,-3.735719446,-5.10569335,20.22133989,-18.28020585,1.282379089,-1.930845973,-7.170847362,-1.194169075,-2.494425521,11.95266773,2.237356231,12.36351615,NaN,-0.880981872,-0.065362853,-0.210027978,-9.172245509,-1.640274845,NaN,NaN,NaN,NaN,NaN,NaN,-7.170847362,0.501750303,0.609409194,1.140528029,2.246689726,0.087843714,4.019663369
0.746994495,-0.04972838,-26.0737077,3.673790273,-0.614943138,-2.105891863,-5.717725234,-0.229689715,0.207766171,0.192004616,1.163214186,4.016917486,NaN,-1.332585777,-0.119182099,-0.002271498,2.195852484,NaN,NaN,NaN,NaN,NaN,NaN,0.075942773,-3.473800314,-5.641087432,-4.223961459,-16.63978253,0.575011057,-4.825812123,-14.8290946,-1.329722089,-2.401588287,12.24889667,3.092664093,15.36956787,NaN,-2.987450491,-0.278367546,0.11044138,-7.706017159,-2.085127813,NaN,NaN,NaN,NaN,NaN,NaN,-14.8290946,-2.427704112,-0.565331877,0.679880469,0.947314825,0.138498944,-0.078551245
-0.69593604,1.412693062,16.31603006,-2.043629857,-0.34556979,3.176115853,6.075993042,-0.124662113,-2.479461954,0.537648641,-1.803930813,8.358507231,NaN,-1.77351999,0.36939927,-0.868214627,3.279562526,NaN,NaN,NaN,NaN,NaN,NaN,3.081534641,-4.738438346,-4.796791868,13.5567616,-20.97634407,0.085353896,-2.48601728,-10.84900221,-1.381565631,-5.084396002,12.97166512,1.010311045,22.80565714,NaN,-5.596779775,-0.007214214,-0.449963446,-5.270241122,0.474065406,NaN,NaN,NaN,NaN,NaN,NaN,-10.84900221,1.108588859,-0.149064712,0.646639364,4.193750811,0.035182111,-12.79846336
-0.216133976,-3.048949892,-22.29952635,12.87981669,-3.724109759,0.213237095,3.560475849,-0.001718624,0.173862448,1.376014164,0.823662869,-8.942609277,1.904601696,0.289379514,-0.322931003,-0.288499589,3.028654057,-1.103662456,-1.214768305,-1.234139135,7.742820997,-3.12705901,0.136953453,1.02280145,-5.608786687,-8.496841329,-7.458764376,-10.63554269,-3.842011967,-3.15563237,-9.524076508,-1.333348622,-5.203450345,14.59829132,1.589457428,13.02444282,-3.504032671,-6.209456362,-0.433605583,-0.448641331,-3.203229425,0.980473469,-9.88040178,-2.811492369,-8.057328049,-8.625835905,-6.936087996,-1.493449007,-9.524076508,0.041873245,0.058572363,1.0407694,1.505845295,-4.98E-05,-4.365226563
0.292764212,4.286529293,-5.85787067,-3.793552378,-1.388510504,-3.072001116,3.586678813,0.117584683,1.027902097,-5.559425314,-0.337560092,-3.655488308,NaN,3.706536899,-0.417205936,0.162455201,12.59889487,NaN,NaN,NaN,NaN,NaN,NaN,-2.163174458,-6.054673432,-4.941085955,-12.23877952,-17.18760268,-5.500506914,-7.154747538,-8.290087516,-1.189412574,-4.556012527,9.331459715,1.045076814,8.595273948,NaN,-3.472044736,-0.96027289,-0.017128341,8.315767606,-1.685948912,NaN,NaN,NaN,NaN,NaN,NaN,-8.290087516,2.029175466,-0.90340796,1.445164448,2.454528793,-0.078144979,-5.699328732
1.858694681,2.297501166,3.406058606,2.217047347,3.579588541,-1.143786115,3.374858886,-0.184255468,1.868108653,-19.26465856,1.865787856,-8.851581231,NaN,2.347826065,-0.00065338,-0.876515039,-11.84447887,NaN,NaN,NaN,NaN,NaN,NaN,1.377130625,-5.014485029,-3.445694812,-7.98180075,-17.9153167,-2.262789503,-9.265667994,-7.356595778,-1.37076893,-3.150639941,-9.631257946,2.744536917,-0.992092076,NaN,-2.157354575,-1.076904219,-0.647844922,-4.725262192,-0.792336115,NaN,NaN,NaN,NaN,NaN,NaN,-7.356595778,-1.071971251,-0.834070359,1.442067894,1.735416401,-0.109210138,-0.321862813
